canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,target_name,target_organism
COc1ccc(NC2CCN(CCc3ccccc3)CC2)cc1OC,CHEMBL1673263,IC50,nM,38106.95,CHEMBL4662927,pIC50,,4.41899582554813,Histidine--tRNA ligase,Leishmania infantum
COc1ccc(NC2CCN(CCc3ccccc3)CC2)cc1OC,CHEMBL1673263,IC50,nM,46039.62,CHEMBL4662927,pIC50,,4.33686822604648,Histidine--tRNA ligase,Leishmania infantum
COc1cccc(N2CCN(Cc3cccc(CCN)c3)CC2=O)c1,CHEMBL3474328,IC50,nM,23274.53,CHEMBL4662927,pIC50,,4.63311911030813,Histidine--tRNA ligase,Leishmania infantum
COc1cccc(N2CCN(Cc3cccc(CCN)c3)CC2=O)c1,CHEMBL3474328,IC50,nM,28165.35,CHEMBL4662927,pIC50,,4.55028480083974,Histidine--tRNA ligase,Leishmania infantum
O=C(c1cc(-c2ccco2)nc2c(Cl)cccc12)N1C[C@H]2CNC[C@H]2C1,CHEMBL3476256,IC50,nM,48117.16,CHEMBL4662927,pIC50,,4.31770000758429,Histidine--tRNA ligase,Leishmania infantum
O=C(c1cc(-c2ccco2)nc2c(Cl)cccc12)N1C[C@H]2CNC[C@H]2C1,CHEMBL3476256,IC50,nM,51834.45,CHEMBL4662927,pIC50,,4.28538146416418,Histidine--tRNA ligase,Leishmania infantum
NCCc1cccc(CN2CCN(c3ccccc3)C(=O)C2)c1,CHEMBL3478128,IC50,nM,26834.44,CHEMBL4662927,pIC50,,4.57130747489939,Histidine--tRNA ligase,Leishmania infantum
NCCc1cccc(CN2CCN(c3ccccc3)C(=O)C2)c1,CHEMBL3478128,IC50,nM,20545.58,CHEMBL4662927,pIC50,,4.68728157409061,Histidine--tRNA ligase,Leishmania infantum
CCN1CCC(Nc2ccc(OC)c(OC)c2)CC1,CHEMBL3479003,IC50,nM,34735.93,CHEMBL4662927,pIC50,,4.45922101213759,Histidine--tRNA ligase,Leishmania infantum
CCN1CCC(Nc2ccc(OC)c(OC)c2)CC1,CHEMBL3479003,IC50,nM,53099.47,CHEMBL4662927,pIC50,,4.27490980852443,Histidine--tRNA ligase,Leishmania infantum
