molecule_chembl_id,parasite_ic50,human_ic50,selectivity_ratio,parasite_target,human_target_id,selectivity_class,human_target
CHEMBL4516631,251.19,398.11,1.5848958955372427,Class 1 phosphodiesterase PDEB1,CHEMBL275,POOR,PDE4B
CHEMBL4519708,398.11,630.96,1.5848885986285197,Class 1 phosphodiesterase PDEB1,CHEMBL275,POOR,PDE4B
CHEMBL4520014,794.33,1258.93,1.5848954464769052,Class 1 phosphodiesterase PDEB1,CHEMBL275,POOR,PDE4B
CHEMBL4520514,794.33,1584.89,1.9952538617451185,Class 1 phosphodiesterase PDEB1,CHEMBL275,POOR,PDE4B
CHEMBL4521383,125.89,501.19,3.9811740408292953,Class 1 phosphodiesterase PDEB1,CHEMBL275,MODERATE,PDE4B
CHEMBL4522881,316.23,501.19,1.5848907440786768,Class 1 phosphodiesterase PDEB1,CHEMBL275,POOR,PDE4B
CHEMBL4562476,1000.0,794.33,0.7943300000000001,Class 1 phosphodiesterase PDEB1,CHEMBL275,COUNTER-SELECTIVE,PDE4B
CHEMBL4565967,398.11,316.23,0.7943282007485368,Class 1 phosphodiesterase PDEB1,CHEMBL275,COUNTER-SELECTIVE,PDE4B
CHEMBL4566533,316.23,1000.0,3.1622553204945767,Class 1 phosphodiesterase PDEB1,CHEMBL275,MODERATE,PDE4B
CHEMBL4583339,398.11,1258.93,3.162266710205722,Class 1 phosphodiesterase PDEB1,CHEMBL275,MODERATE,PDE4B
CHEMBL511115,16000.0,25.0,0.0015625,Class 1 phosphodiesterase PDEB1,CHEMBL275,COUNTER-SELECTIVE,PDE4B
