assay_type,canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,target_name,target_organism
B,O=P(O)(O)C(O)(C[n+]1cccc(Cc2ccccc2)c1)P(=O)(O)O,CHEMBL383778,IC50,nM,70000.0,CHEMBL4386,IC50,uM,70.0,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,Cc1cccc(Cc2ccc[n+](CC(O)(P(=O)(O)O)P(=O)(O)O)c2)c1,CHEMBL197132,IC50,nM,78000.0,CHEMBL4386,IC50,uM,78.0,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(O)(Cc1cccc(-c2cc(F)cc(F)c2)c1)P(=O)(O)O,CHEMBL371885,IC50,nM,82700.0,CHEMBL4386,IC50,uM,82.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(NC12CC3CC(CC(C3)C1)C2)P(=O)(O)O,CHEMBL194215,IC50,nM,98300.0,CHEMBL4386,IC50,uM,98.3,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,CN(C)c1ccccc1CC(O)(P(=O)(O)O)P(=O)(O)O,CHEMBL426281,IC50,nM,108300.0,CHEMBL4386,IC50,uM,108.3,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,Cc1cccc(C[n+]2cccc(CC(O)(P(=O)(O)O)P(=O)(O)O)c2)c1,CHEMBL196049,IC50,nM,130000.0,CHEMBL4386,IC50,uM,130.0,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,Nc1cccc(NC(P(=O)(O)O)P(=O)(O)O)c1,CHEMBL371912,IC50,nM,133300.0,CHEMBL4386,IC50,uM,133.3,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(O)(Cc1cccc(-c2ccc(F)cc2F)c1)P(=O)(O)O,CHEMBL196749,IC50,nM,138300.0,CHEMBL4386,IC50,uM,138.3,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(O)(Cc1ccc(-c2ccc(F)cc2)cc1)P(=O)(O)O,CHEMBL194302,IC50,nM,191700.0,CHEMBL4386,IC50,uM,191.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(O)(Cc1ccc(-c2ccccc2)cc1)P(=O)(O)O,CHEMBL371263,IC50,nM,211700.0,CHEMBL4386,IC50,uM,211.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,Nc1cccc(CC(O)(P(=O)(O)O)P(=O)(O)O)c1,CHEMBL425925,IC50,nM,215000.0,CHEMBL4386,IC50,uM,215.0,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O.O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,CHEMBL4303669,IC50,nM,226700.0,CHEMBL4386,IC50,uM,226.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,COc1ccc(-c2cccc(CC(O)(P(=O)(O)O)P(=O)(O)O)c2)cc1,CHEMBL195956,IC50,nM,300000.0,CHEMBL4386,IC50,uM,300.0,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,CN(CCOc1ccccc1)CCC(O)(P(=O)(O)O)P(=O)(O)O,CHEMBL53982,IC50,nM,325000.0,CHEMBL4386,IC50,uM,325.0,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,CCCCCCCCCCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,CHEMBL55837,IC50,nM,340000.0,CHEMBL4386,IC50,uM,340.0,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(Nc1ccc(-c2ccccc2)cc1)P(=O)(O)O,CHEMBL293479,IC50,nM,355000.0,CHEMBL4386,IC50,uM,355.0,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,CCCCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,CHEMBL54004,IC50,nM,356700.0,CHEMBL4386,IC50,uM,356.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(O)(Cc1cccc(-c2ccc(Cl)cc2)c1)P(=O)(O)O,CHEMBL194213,IC50,nM,366700.0,CHEMBL4386,IC50,uM,366.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(CNc1ccccn1)P(=O)(O)O,CHEMBL294192,IC50,nM,383300.0,CHEMBL4386,IC50,uM,383.3,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(CNc1ccc(-c2ccccc2)cc1)P(=O)(O)O,CHEMBL382291,IC50,nM,420000.0,CHEMBL4386,IC50,uM,420.0,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(O)(Cc1cccc(-c2cc(F)ccc2F)c1)P(=O)(O)O,CHEMBL198014,IC50,nM,430000.0,CHEMBL4386,IC50,uM,430.0,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,COc1ccc(-c2ccc(CC(O)(P(=O)(O)O)P(=O)(O)O)cc2)cc1,CHEMBL198066,IC50,nM,435000.0,CHEMBL4386,IC50,uM,435.0,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(O)(Cc1ccc(-c2ccc(Cl)cc2)cc1)P(=O)(O)O,CHEMBL436758,IC50,nM,446700.0,CHEMBL4386,IC50,uM,446.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(O)(Cc1cccc(Oc2ccccc2)c1)P(=O)(O)O,CHEMBL425748,IC50,nM,540000.0,CHEMBL4386,IC50,uM,540.0,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O,CHEMBL923,IC50,nM,656700.0,CHEMBL4386,IC50,uM,656.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
